Bil,Review,Sentiment,Category
30,"The Smart Tutor Program at Dato Kamaruddin Mosque was a fantastic experience. The food was consistently excellent, with a wide variety of delicious options. The venue was well-suited for our needs, providing a spacious and well-equipped environment. The facilities were modern and well-maintained, enhancing our overall experience and making learning enjoyable.",Excellent (5/5),"food, venue, facilities"
31,"The Smart Tutor Program at Dato Kamaruddin Mosque was outstanding overall. The food provided was delicious, though I wish there were more healthy options available. The venue was spacious and well-equipped, but some areas could use better lighting. The facilities were good, but the restrooms could be cleaner.",Excellent (5/5),"food, venue, facilities"
32,"The Smart Tutor Program was a great experience, but there were a few areas for improvement. The food was excellent, but the variety could be increased. The venue was generally comfortable, although the seating arrangement could be more flexible. The facilities were adequate, but better maintenance of the equipment would be beneficial.",Excellent (5/5),"food, venue, facilities"
33,"I really enjoyed the Smart Tutor Program at Dato Kamaruddin Mosque. The food was tasty, but more vegetarian options would have been appreciated. The venue was spacious, though some areas were a bit too cold due to the air conditioning. The facilities were good, but additional charging stations for devices would be helpful.",Excellent (5/5),"food, venue, facilities"
34,"The Smart Tutor Program was fantastic, with a few minor critiques. The food was great, but the portion sizes were sometimes inconsistent. The venue was suitable for our needs, but the acoustics in the main hall could be improved. The facilities were decent, though the Wi-Fi connection was occasionally unreliable.",Excellent (5/5),"food, venue, facilities"
35,"Overall, the Smart Tutor Program at Dato Kamaruddin Mosque was excellent. The food was delicious, but I would have liked to see more variety in the meals. The venue was comfortable, but some areas were a bit cramped during larger sessions. The facilities were generally good, but more regular cleaning would enhance the experience.",Excellent (5/5),"food, venue, facilities"
36,"The Smart Tutor Program was highly effective, with a few areas for enhancement. The food was very good, but could benefit from more diverse options. The venue was well-suited for learning, though the temperature was sometimes too cold. The facilities were satisfactory, but more attention to restroom cleanliness is needed.",Excellent (5/5),"food, venue, facilities"
37,"I had a great time at the Smart Tutor Program. The food was consistently good, though more options for those with dietary restrictions would be ideal. The venue was spacious and comfortable, but better soundproofing would help during group activities. The facilities were adequate, but additional study spaces would be useful.",Excellent (5/5),"food, venue, facilities"
38,"The Smart Tutor Program was a positive experience overall. The food was enjoyable, but I think the menu could be expanded. The venue was generally comfortable, though some seating areas were less ideal for long sessions. The facilities were good, but more frequent maintenance checks would improve them.",Excellent (5/5),"food, venue, facilities"
39,"The Smart Tutor Program at Dato Kamaruddin Mosque was excellent, with some room for improvement. The food was tasty, but more variety would have been nice. The venue was suitable, though the air conditioning made some areas too cold. The facilities were generally good, but the restroom cleanliness could be improved.",Excellent (5/5),"food, venue, facilities"
40,"The Smart Tutor Program was fantastic, with a few minor issues. The food was delicious, but the menu became repetitive over time. The venue was spacious and well-equipped, but some areas needed better lighting. The facilities were good, but more regular cleaning and maintenance would enhance the overall experience.",Excellent (5/5),"food, venue, facilities"
41,"The Smart Tutor Program at Dato Kamaruddin Mosque was a blast! The food was so good, I considered sneaking into the kitchen for more. The venue was spacious enough for all my wild gesticulations during discussions. Facilities? Top-notch, except I think the Wi-Fi is scared of my phone.",Excellent (5/5),"food, venue, facilities"
42,"Loved the Smart Tutor Program! The food was so tasty I thought they hired a Michelin-star chef. The venue was great, though I might have gotten lost a couple of times. Facilities were amazing—though I swear the air conditioning has a vendetta against my warm-blooded self.",Excellent (5/5),"food, venue, facilities"
43,"The Smart Tutor Program was awesome! The food was so good, I gained a pound just by looking at it. The venue was roomy enough for my spontaneous dance breaks. The facilities were excellent, but the Wi-Fi played hide and seek with my phone.",Excellent (5/5),"food, venue, facilities"
44,"I had a great time at the Smart Tutor Program! The food was so delicious, I considered moving in. The venue was perfect, except for the one chair that always squeaked when I sat on it. The facilities were great—clean restrooms and all, though I think the hand dryer is secretly a jet engine.",Excellent (5/5),"food, venue, facilities"
45,"The Smart Tutor Program was fantastic! The food was so good, I almost signed up for a cooking class instead. The venue was spacious, though I kept taking wrong turns. Facilities were top-notch—except for the one restroom door that makes a horror movie creak.",Excellent (5/5),"food, venue, facilities"
46,"Enjoyed every moment of the Smart Tutor Program! The food was so tasty, I wondered if it was magic. The venue was spacious, perfect for my dramatic study poses. The facilities were great, but the Wi-Fi definitely took a few coffee breaks.",Excellent (5/5),"food, venue, facilities"
47,"The Smart Tutor Program was a highlight of my year! The food was so good, I dreamed about it. The venue was roomy, though I did manage to get lost a couple of times. The facilities were awesome, but the air conditioning might have been set to ""Antarctic.""",Excellent (5/5),"food, venue, facilities"
48,"Had a blast at the Smart Tutor Program! The food was so amazing, I thought about asking for the recipes. The venue was great, though the chairs could be a bit too eager to squeak. The facilities were excellent, except for the one restroom door that seemed to be auditioning for a horror film.",Excellent (5/5),"food, venue, facilities"
49,"The Smart Tutor Program was excellent! The food was so good, I contemplated smuggling some home. The venue was spacious enough for all my over-the-top gestures. The facilities were great, though I think the Wi-Fi had commitment issues.",Excellent (5/5),"food, venue, facilities"
50,"Absolutely loved the Smart Tutor Program! The food was so tasty, I considered making it my new diet plan. The venue was spacious and perfect for my random dance breaks. The facilities were top-notch, but the hand dryer sounded like it was about to take off.",Excellent (5/5),"food, venue, facilities"
51,"The Smart Tutor Program at Dato Kamaruddin Mosque was really good! The food was tasty, though it could use a bit more variety. The venue was spacious and comfortable, perfect for studying. The facilities were well-maintained, though a few more power outlets would be nice.",Good (4/5),"food, venue, facilities"
52,"I enjoyed the Smart Tutor Program. The food was decent, and I loved the lunch breaks. The venue was great, with plenty of room to move around. The facilities were generally good, but the Wi-Fi could be more reliable.",Good (4/5),"food, venue, facilities"
53,"The Smart Tutor Program was pretty good overall. The food was nice, but some healthier options would be great. The venue was comfortable and had all the essentials. The facilities were well-kept, though the restrooms could use a bit more attention.",Good (4/5),"food, venue, facilities"
54,"Had a good time at the Smart Tutor Program. The food was enjoyable, even if it did get a bit repetitive. The venue was spacious and conducive to learning. The facilities were solid, though a few extra chairs would be helpful during busy sessions.",Good (4/5),"food, venue, facilities"
55,"The Smart Tutor Program was a positive experience. The food was good, but more vegetarian options would be nice. The venue was well-organized and comfortable. The facilities were adequate, though the air conditioning was sometimes too cold.",Good (4/5),"food, venue, facilities"
56,"The program was good, and I had a nice time. The food was decent, though a bit more variety would be appreciated. The venue was spacious and well-lit. The facilities were fine, but the hand dryers in the restrooms could be faster.",Good (4/5),"food, venue, facilities"
57,"Enjoyed the Smart Tutor Program. The food was tasty, but it could use more variety. The venue was comfortable and had plenty of space. The facilities were generally good, though more frequent cleaning of the restrooms would be nice.",Good (4/5),"food, venue, facilities"
58,"The Smart Tutor Program was pretty good. The food was enjoyable, but I’d love to see more options. The venue was nice and spacious. The facilities were fine, but the Wi-Fi could be improved.",Good (4/5),"food, venue, facilities"
59,"Had a good experience at the Smart Tutor Program. The food was decent, though it got a bit repetitive. The venue was comfortable and well-equipped. The facilities were solid, though more charging stations would be helpful.",Good (4/5),"food, venue, facilities"
60,"The Smart Tutor Program was overall very good. The food was tasty, but a bit more variety would be great. The venue was spacious and well-suited for learning. The facilities were good, but the restrooms could use some more frequent cleaning.",Good (4/5),"food, venue, facilities"
61,"The Smart Tutor Program at Dato Kamaruddin Mosque was pretty good. The venue was spacious and comfortable, perfect for studying. The food was tasty, though a bit more variety would be nice. Overall, a pleasant experience!",Good (4/5),"food, venue"
62,"I had a good time at the Smart Tutor Program. The venue was well-organized and had plenty of room for everyone. The food was decent, but it could use some more variety. Still, I enjoyed it!",Good (4/5),"food, venue"
63,"The Smart Tutor Program was a positive experience. The venue was ideal, with plenty of space and good lighting. The food was good, but more vegetarian options would have been appreciated. Overall, it was a great program.",Good (4/5),"food, venue"
64,"I enjoyed the Smart Tutor Program. The venue was comfortable and had everything we needed. The food was pretty good, though it did get a bit repetitive. All in all, it was a good experience.",Good (4/5),"food, venue"
65,"The Smart Tutor Program was quite enjoyable. The venue was spacious and well-suited for our sessions. The food was tasty, but it could have been more varied. Despite that, I had a great time.",Good (4/5),"food, venue"
66,"The program was good overall. The venue was nice and provided a great environment for learning. The food was decent, but a bit more variety would have been nice. It was a positive experience.",Good (4/5),"food, venue"
67,"I had a good experience at the Smart Tutor Program. The venue was comfortable and well-equipped. The food was good, though it did get repetitive. Overall, it was a good program.",Good (4/5),"food, venue"
68,"The Smart Tutor Program was solid. The venue was spacious and well-maintained, making it easy to focus. The food was tasty, but more options would be appreciated. All in all, it was a good experience.",Good (4/5),"food, venue"
69,"The program was quite good. The venue was comfortable and provided a great space for learning. The food was decent, though it could have had more variety. Overall, it was a positive experience.",Good (4/5),"food, venue"
70,"I had a good time at the Smart Tutor Program. The venue was well-organized and spacious. The food was tasty, but it did get a bit repetitive. Despite that, I enjoyed the program and found it beneficial.",Good (4/5),"food, venue"
71,"The Smart Tutor Program at Dato Kamaruddin Mosque was enjoyable. The venue was clean and had a welcoming atmosphere, which made studying there pleasant. The food was good, though having more options would have been great. Overall, a positive experience.",Good (4/5),"food, venue"
72,"I had a nice time at the Smart Tutor Program. The venue was comfortable and spacious enough for everyone. The food was decent and kept us energized, but a bit more variety would have been appreciated. All in all, it was a good program.",Good (4/5),"food, venue"
73,"The Smart Tutor Program was quite good. The venue was well-maintained and provided a great environment for learning. The food was tasty, but it could use more variety. Overall, I had a good experience.",Good (4/5),"food, venue"
74,"Enjoyed my time at the Smart Tutor Program. The venue was spacious and conducive to learning. The food was decent, though it got a bit repetitive. Despite that, it was a good experience overall.",Good (4/5),"food, venue"
75,"The Smart Tutor Program was pretty good. The venue was comfortable and well-organized, making it easy to focus on studying. The food was good, but more options would have been nice. Overall, I enjoyed the program.",Good (4/5),"food, venue"
76,"I had a positive experience at the Smart Tutor Program. The venue was spacious and well-lit, which made it a nice place to study. The food was decent, though it could use a bit more variety. Overall, it was a good program.",Good (4/5),"food, venue"
77,"The Smart Tutor Program was good. The venue was comfortable and provided a nice environment for learning. The food was tasty, but having more options would be better. All in all, it was a good experience.",Good (4/5),"food, venue"
78,"The program was enjoyable. The venue was spacious and well-maintained, making it a pleasant place to study. The food was decent, though it could have been more varied. Overall, it was a good experience.",Good (4/5),"food, venue"
79,"I had a good time at the Smart Tutor Program. The venue was comfortable and had everything we needed for our sessions. The food was good, but it did get a bit repetitive. Despite that, I found the program beneficial.",Good (4/5),"food, venue"
80,"The Smart Tutor Program was quite good. The venue was spacious and provided a great environment for learning. The food was tasty, but a bit more variety would have been appreciated. Overall, it was a positive experience.",Good (4/5),"food, venue"
81,"The Smart Tutor Program at Dato Kamaruddin Mosque was a pleasant experience. The venue was well-maintained and provided a comfortable setting for our sessions. The food was good, but a bit more variety would have been nice. Overall, I enjoyed it.",Good (4/5),"food, venue"
82,"I found the Smart Tutor Program to be quite good. The venue was spacious and allowed for easy movement during activities. The food was decent, though it could use a few more options. All in all, it was a positive experience.",Good (4/5),"food, venue"
83,"The Smart Tutor Program was pretty good overall. The venue was clean and well-organized, making it easy to concentrate. The food was tasty, but a bit more variety would have been appreciated. Overall, it was a good program.",Good (4/5),"food, venue"
84,"I had a positive experience at the Smart Tutor Program. The venue was comfortable and had all the necessary amenities. The food was good, though it could have been more varied. Despite that, I enjoyed the program.",Good (4/5),"food, venue"
85,"The Smart Tutor Program was enjoyable. The venue was spacious and conducive to learning. The food was decent, though it did get repetitive. Overall, it was a good experience and I found it beneficial.",Good (4/5),"food, venue"
86,"The Smart Tutor Program at Dato Kamaruddin Mosque was quite good. The venue was comfortable and well-maintained, making it a great place to study. The food was good, but more options would have been appreciated. Overall, I had a good time.",Good (4/5),"food, venue"
87,"I had a good experience at the Smart Tutor Program. The venue was well-organized and spacious, providing a nice environment for learning. The food was decent, though it could use more variety. All in all, it was a good program.",Good (4/5),"food, venue"
88,"The Smart Tutor Program was pretty enjoyable. The venue was comfortable and had plenty of space for everyone. The food was tasty, but having more options would be nice. Overall, it was a positive experience.",Good (4/5),"food, venue"
89,"The Smart Tutor Program was quite good. The venue was well-maintained and provided a conducive environment for studying. The food was good, though it did get repetitive. Despite that, I enjoyed the program and found it helpful.",Good (4/5),"food, venue"
90,"I had a nice time at the Smart Tutor Program. The venue was comfortable and well-equipped, making it easy to focus on our sessions. The food was decent, but a bit more variety would have been appreciated. Overall, it was a good experience.",Good (4/5),"food, venue"
91,"The Smart Tutor Program at Dato Kamaruddin Mosque was great! The venue was so spacious I could practice my dance moves during breaks. The food was pretty good, but I kept wondering if the chef had a secret stash of hidden spices. Overall, I had a blast!",Good (4/5),"food, venue"
92,"Had a fun time at the Smart Tutor Program. The venue was so comfy, I almost brought my pajamas. The food was tasty, though I did suspect it had magical powers since I kept coming back for more. All in all, it was a great experience!",Good (4/5),"food, venue"
93,"The Smart Tutor Program was pretty good. The venue was so spacious I could have hosted a mini soccer game. The food was decent, though I swear I heard it whisper, “Eat more!” Overall, it was a fun and productive time.",Good (4/5),"food, venue"
94,"Enjoyed the Smart Tutor Program! The venue was so roomy I almost got lost a couple of times. The food was tasty, but I think it had a hidden agenda to make us all food critics. Had a great time and learned a lot!",Good (4/5),"food, venue"
95,"The Smart Tutor Program was quite enjoyable. The venue was so comfy I considered bringing a sleeping bag. The food was good, but I started to think it had some sort of enchantment because I kept dreaming about it. Overall, a fun experience!",Good (4/5),"food, venue"
96,"The Smart Tutor Program at Dato Kamaruddin Mosque was fun. The venue was so big I felt like I was in a maze. The food was decent, but I think it was plotting to turn me into a foodie. Had a great time and made some new friends!",Good (4/5),"food, venue"
97,"Had a good time at the Smart Tutor Program. The venue was so spacious, I half-expected to find a hidden treasure. The food was tasty, though I suspect it had a secret ingredient called ""addiction."" Overall, it was a memorable experience!",Good (4/5),"food, venue"
98,"The Smart Tutor Program was pretty good. The venue was so comfy I almost took a nap during breaks. The food was decent, but I started to think it was trying to make me a food blogger. Had a lot of fun and learned a lot!",Good (4/5),"food, venue"
99,"Enjoyed my time at the Smart Tutor Program. The venue was so roomy I thought about setting up a mini golf course. The food was tasty, but I suspect it had a secret mission to make us all chefs. Overall, it was a great experience!",Good (4/5),"food, venue"
100,"The Smart Tutor Program was quite good. The venue was so comfortable I nearly brought my blanket and pillow. The food was good, though I think it had a hidden charm because I kept going back for seconds. Had a fun and productive time!",Good (4/5),"food, venue"
101,"The Smart Tutor Program at Dato Kamaruddin Mosque was okay. The food was alright but could use more variety. The venue was decent, though it got a bit crowded at times. The facilities were fine, but the restrooms could have been cleaner.",Neutral (3/5),"food, venue, facilities"
102,"My experience at the Smart Tutor Program was pretty average. The food was decent but not memorable. The venue was functional, though it lacked a bit of charm. The facilities were adequate, but nothing special.",Neutral (3/5),"food, venue, facilities"
103,"The program was alright. The food was okay, but it got repetitive. The venue was decent, though it could use better lighting. The facilities were just fine, but the Wi-Fi was spotty.",Neutral (3/5),"food, venue, facilities"
104,"Attending the Smart Tutor Program was a mixed bag. The food was passable but could have been better. The venue was acceptable, though a bit cramped. The facilities were okay, but the restrooms needed more frequent cleaning.",Neutral (3/5),"food, venue, facilities"
105,"The Smart Tutor Program was just okay. The food was nothing to write home about. The venue was serviceable but not very inspiring. The facilities were adequate, though the air conditioning was too cold.",Neutral (3/5),"food, venue, facilities"
106,"The program was fine, nothing extraordinary. The food was alright, but more options would be nice. The venue was decent, though it got noisy at times. The facilities were average, with some areas needing better maintenance.",Neutral (3/5),"food, venue, facilities"
107,"My time at the Smart Tutor Program was so-so. The food was okay but could use more variety. The venue was adequate but lacked character. The facilities were alright, but the restrooms could be cleaner.",Neutral (3/5),"food, venue, facilities"
108,"The Smart Tutor Program was neither great nor terrible. The food was mediocre and lacked variety. The venue was functional, but not very comfortable. The facilities were okay, but the Wi-Fi could have been better.",Neutral (3/5),"food, venue, facilities"
109,"The program was just average. The food was passable, though it could have been more varied. The venue was alright, but it felt a bit cramped. The facilities were fine, but the restrooms needed more attention.",Neutral (3/5),"food, venue, facilities"
110,"The Smart Tutor Program was okay overall. The food was decent but not very exciting. The venue was serviceable, though it could use some improvements. The facilities were adequate, but more charging stations would be helpful.",Neutral (3/5),"food, venue, facilities"
111,"The Smart Tutor Program at Dato Kamaruddin Mosque was okay. The food was alright, but it could use more variety. The venue was decent, though it got a bit crowded at times. The facilities were fine, but the restrooms could have been cleaner.",Neutral (3/5),"food, venue, facilities"
112,"The program was alright. The food was okay, but nothing special. The venue was functional, though it lacked a bit of charm. The facilities were adequate, but nothing to write home about.",Neutral (3/5),"food, venue, facilities"
113,"My experience at the Smart Tutor Program was average. The food was decent but could be better. The venue was acceptable, though a bit cramped. The facilities were okay, but the Wi-Fi was a bit slow.",Neutral (3/5),"food, venue, facilities"
114,"The Smart Tutor Program was so-so. The food was passable but could have been better. The venue was alright, though it could use better lighting. The facilities were fine, but the restrooms needed more frequent cleaning.",Neutral (3/5),"food, venue, facilities"
115,"The program was just okay. The food was decent but got repetitive. The venue was functional, but it wasn't very comfortable. The facilities were adequate, though the air conditioning was too cold.",Neutral (3/5),"food, venue, facilities"
116,"The Smart Tutor Program was average. The food was alright, but I would have liked more variety. The venue was okay, though it got noisy at times. The facilities were fine, but some areas needed better maintenance.",Neutral (3/5),"food, venue, facilities"
117,"My time at the Smart Tutor Program was just okay. The food was decent, but it could use more variety. The venue was functional, but it lacked character. The facilities were fine, though the restrooms could have been cleaner.",Neutral (3/5),"food, venue, facilities"
118,"The program was okay overall. The food was passable, but more options would have been nice. The venue was functional, but not very comfortable. The facilities were fine, but the Wi-Fi could have been better.",Neutral (3/5),"food, venue, facilities"
119,"The Smart Tutor Program was neither great nor terrible. The food was mediocre and lacked variety. The venue was functional, but not very inviting. The facilities were fine, but the restrooms needed more attention.",Neutral (3/5),"food, venue, facilities"
120,"The program was average. The food was okay, but it got a bit repetitive. The venue was functional, but it felt cramped. The facilities were adequate, but more frequent maintenance checks would improve them.",Neutral (3/5),"food, venue, facilities"
121,"The Smart Tutor Program at Dato Kamaruddin Mosque was pretty average. The food was okay but nothing to rave about. The venue was functional but not particularly inspiring. The facilities were fine, though the restrooms could use a bit more attention.",Neutral (3/5),"food, venue, facilities"
122,"The program was alright. The food was decent but got repetitive after a while. The venue was serviceable, though it could be more comfortable. The facilities were adequate, but the Wi-Fi was a bit slow.",Neutral (3/5),"food, venue, facilities"
123,"My experience at the Smart Tutor Program was just okay. The food was passable but could have had more variety. The venue was acceptable, though some areas were too cramped. The facilities were fine, but the air conditioning was a bit too cold.",Neutral (3/5),"food, venue, facilities"
124,"The Smart Tutor Program was average. The food was decent but could use more options. The venue was functional, but not particularly welcoming. The facilities were fine, but the restrooms could be cleaner.",Neutral (3/5),"food, venue, facilities"
125,"The program was okay. The food was alright, though it got a bit repetitive. The venue was functional but not very comfortable. The facilities were fine, though some areas needed better maintenance.",Neutral (3/5),"food, venue, facilities"
126,"My time at the Smart Tutor Program was average. The food was okay but lacked variety. The venue was acceptable but not particularly inviting. The facilities were fine, but the Wi-Fi could be improved.",Neutral (3/5),"food, venue, facilities"
127,"The Smart Tutor Program was neither great nor terrible. The food was mediocre and could have been more varied. The venue was functional but a bit cramped. The facilities were fine, but the restrooms needed more frequent cleaning.",Neutral (3/5),"food, venue, facilities"
128,"The program was just okay. The food was passable, but more options would have been nice. The venue was functional but not very inspiring. The facilities were fine, though the restrooms could be better maintained.",Neutral (3/5),"food, venue, facilities"
129,"The Smart Tutor Program was alright. The food was decent but could use more variety. The venue was functional, though it could be more comfortable. The facilities were fine, but the air conditioning was sometimes too cold.",Neutral (3/5),"food, venue, facilities"
130,"The program was average overall. The food was okay but got repetitive. The venue was functional but not very inviting. The facilities were fine, though the Wi-Fi could have been better.",Neutral (3/5),"food, venue, facilities"
131,"The Smart Tutor Program at Dato Kamaruddin Mosque was okay. The food was decent but could use more variety. The venue was alright, though it could be more comfortable. Overall, it was an average experience.",Neutral (3/5),"food, venue"
132,My experience at the Smart Tutor Program was just so-so. The food was passable but nothing special. The venue was functional but not very inviting. It was okay overall.,Neutral (3/5),"food, venue"
133,"The program was alright. The food was decent but got repetitive quickly. The venue was functional, though it could use better lighting. Overall, it was a neutral experience.",Neutral (3/5),"food, venue"
134,"The Smart Tutor Program was average. The food was okay, but more options would have been nice. The venue was acceptable but not particularly comfortable. It was fine, but nothing to rave about.",Neutral (3/5),"food, venue"
135,"The program was pretty average. The food was okay, though it lacked variety. The venue was functional but felt a bit cramped. Overall, it was an alright experience.",Neutral (3/5),"food, venue"
136,My time at the Smart Tutor Program was okay. The food was decent but could have been better. The venue was functional but not very comfortable. It was a neutral experience overall.,Neutral (3/5),"food, venue"
137,The Smart Tutor Program was neither great nor terrible. The food was mediocre and could use more variety. The venue was functional but not very inviting. It was just okay.,Neutral (3/5),"food, venue"
138,"The program was alright. The food was passable, but more options would be nice. The venue was functional but not particularly comfortable. Overall, it was an average experience.",Neutral (3/5),"food, venue"
